学校,考试方式,院系所,专业,学习方式,研究方向,政治,外语,业务课1,业务课2
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085500)(专业学位)机械,全日制,(01)复杂电液系统与装备,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(933)控制工程综合                 
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085500)(专业学位)机械,全日制,(02)新概念飞行器设计与控制,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(933)控制工程综合                 
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085500)(专业学位)机械,全日制,(03)飞行器容错控制与可靠性,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(933)控制工程综合                 
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085500)(专业学位)机械,全日制,(04)智能装备与特种机器人,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(933)控制工程综合                 
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085500)(专业学位)机械,全日制,(05)气动节能与检测,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(933)控制工程综合                 
(10006)北京航空航天大学,统考,(004)能源与动力工程学院,(085500)(专业学位)机械,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(202)俄语                 ,(302)数学（二）                 ,(941)能源动力综合                 
(10006)北京航空航天大学,统考,(005)航空科学与工程学院,(085500)(专业学位)机械,全日制,(01)无人机设计,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(005)航空科学与工程学院,(085500)(专业学位)机械,非全日制,(01)无人机设计,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(005)航空科学与工程学院,(085500)(专业学位)机械,全日制,(02)固体力学,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(005)航空科学与工程学院,(085500)(专业学位)机械,全日制,(03)流体力学,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(005)航空科学与工程学院,(085500)(专业学位)机械,全日制,(04)飞行器设计,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(005)航空科学与工程学院,(085500)(专业学位)机械,全日制,(05)飞行力学与飞行安全,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(005)航空科学与工程学院,(085500)(专业学位)机械,全日制,(06)动力学与控制,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085500)(专业学位)机械,非全日制,(01)北航歌尔研究院联合培养,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085500)(专业学位)机械,非全日制,(02)北航宁波创新研究院联合培养,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085501)(专业学位)机械工程,全日制,(01)智能制造技术与装备、微纳机电系统、微纳仿生与生物制造、工业智能控制,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085501)(专业学位)机械工程,全日制,(02)智能驱动感知及机器人系统、先进检测技术及机电一体化,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085501)(专业学位)机械工程,全日制,(03)航空宇航制造工程,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085501)(专业学位)机械工程,全日制,(04)智能机械系统设计理论与控制技术,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085501)(专业学位)机械工程,全日制,(05)材料加工工程（先进连接技术与装备、微纳加工与增材制造、智能材料与功能表面）,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085501)(专业学位)机械工程,全日制,(06)数字化设计与图形学,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085509)(专业学位)智能制造技术,全日制,(01)数字化设计与制造,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085509)(专业学位)智能制造技术,全日制,(02)智能制造系统与企业信息化,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085509)(专业学位)智能制造技术,全日制,(03)工业软件,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085509)(专业学位)智能制造技术,全日制,(04)机器人化制造,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(007)机械工程及自动化学院,(085510)(专业学位)机器人工程,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(204)英语（二）                 ,(301)数学（一）                 ,(971)机械工程专业综合                 
(10006)北京航空航天大学,统考,(010)生物与医学工程学院,(085500)(专业学位)机械,全日制,(01)生物医学工程,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(803)解剖生理学                 
