学校,考试方式,院系所,专业,学习方式,研究方向,政治,外语,业务课1,业务课2
(10006)北京航空航天大学,统考,(013)交通科学与工程学院,(085500)(专业学位)机械,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(941)能源动力综合                 
(10006)北京航空航天大学,统考,(015)宇航学院,(085504)(专业学位)航天工程,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(024)中法工程师学院/国际通用工程学院,(085500)(专业学位)机械,全日制,(01)国际通用工程师,                (101)思想政治理论                ,(242)法语（工程）                 ,(302)数学（二）                 ,(994)工业科学综合                 
(10006)北京航空航天大学,统考,(032)航空发动机研究院,(085500)(专业学位)机械,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(202)俄语                 ,(302)数学（二）                 ,(941)能源动力综合                 
(10006)北京航空航天大学,统考,(043)前沿科学技术创新研究院,(085500)(专业学位)机械,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(933)控制工程综合                 
(10006)北京航空航天大学,统考,(DFJ)航空科学与技术国家实验室大飞机班,(085500)(专业学位)机械,全日制,(01)大型飞机空气动力学,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(DFJ)航空科学与技术国家实验室大飞机班,(085500)(专业学位)机械,全日制,(02)大型飞机材料与结构,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(DFJ)航空科学与技术国家实验室大飞机班,(085500)(专业学位)机械,全日制,(03)大型飞机导航通信,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(DFJ)航空科学与技术国家实验室大飞机班,(085500)(专业学位)机械,全日制,(04)大型飞机控制,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(DFJ)航空科学与技术国家实验室大飞机班,(085500)(专业学位)机械,全日制,(05)大型飞机设计,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(DFJ)航空科学与技术国家实验室大飞机班,(085500)(专业学位)机械,全日制,(06)大型飞机推进系统,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(DFJ)航空科学与技术国家实验室大飞机班,(085500)(专业学位)机械,全日制,(07)大型飞机制造,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(951)力学基础                 
(10006)北京航空航天大学,统考,(DFJ)航空科学与技术国家实验室大飞机班,(085500)(专业学位)机械,全日制,(08)大型飞机人机与环境工程,                (101)思想政治理论                ,(204)英语（二）                 ,(302)数学（二）                 ,(951)力学基础                 
