学校,考试方式,院系所,专业,学习方式,研究方向,政治,外语,业务课1,业务课2
(10005)北京工业大学,统考,(064)城市建设学部,(081400)土木工程,全日制,(01)岩土工程、结构工程、防灾减灾工程及防护工程、桥梁与隧道工程、土木工程材料、土木工程建造与管理,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(841)结构与岩土力学                 
(10005)北京工业大学,统考,(064)城市建设学部,(081400)土木工程,全日制,(02)市政工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(845)水分析化学与水力学                 
(10005)北京工业大学,统考,(064)城市建设学部,(081400)土木工程,全日制,(03)供热、供燃气、通风及空调工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(846)流体力学与传热学                 
