学校,考试方式,院系所,专业,学习方式,研究方向,政治,外语,业务课1,业务课2
(10378)安徽财经大学,统考,(000)不区分院系所,(120201)会计学,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(824)会计学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(120202)企业管理,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(120203)旅游管理,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(120204)技术经济及管理,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(1202Z1)市场营销,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
(10378)安徽财经大学,统考,(000)不区分院系所,(1202Z2)物流管理与电子商务,全日制,(00)不区分研究方向,                (101)思想政治理论                ,(201)英语（一）                 ,(303)数学（三）                 ,(815)管理学                 
