学校,考试方式,院系所,专业,学习方式,研究方向,政治,外语,业务课1,业务课2
(10008)北京科技大学,统考,(015)能源与环境工程学院,(080700)动力工程及工程热物理,全日制,(01)工程热物理,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(811)热工理论(包括传热传质学、工程热力学)                 
(10008)北京科技大学,统考,(015)能源与环境工程学院,(080700)动力工程及工程热物理,全日制,(02)热能工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(811)热工理论(包括传热传质学、工程热力学)                 
(10008)北京科技大学,统考,(015)能源与环境工程学院,(080700)动力工程及工程热物理,全日制,(03)制冷及低温工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(811)热工理论(包括传热传质学、工程热力学)                 
(10008)北京科技大学,统考,(015)能源与环境工程学院,(080700)动力工程及工程热物理,全日制,(04)新能源科学与工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(811)热工理论(包括传热传质学、工程热力学)                 
(10008)北京科技大学,统考,(015)能源与环境工程学院,(080700)动力工程及工程热物理,全日制,(05)储能科学与工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(811)热工理论(包括传热传质学、工程热力学)                 
(10008)北京科技大学,统考,(015)能源与环境工程学院,(080700)动力工程及工程热物理,全日制,(06)碳中和科学与工程,                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(811)热工理论(包括传热传质学、工程热力学)                 
