学校,考试方式,院系所,专业,学习方式,研究方向,政治,外语,业务课1,业务课2
(10370)安徽师范大学,统考,(018)法学院,(035200)(专业学位)社会工作,全日制,(01)老年社会工作,                (101)思想政治理论                ,(204)英语（二）                 ,(331)社会工作原理                 ,(437)社会工作实务                 
(10370)安徽师范大学,统考,(018)法学院,(035200)(专业学位)社会工作,全日制,(02)学校社会工作,                (101)思想政治理论                ,(204)英语（二）                 ,(331)社会工作原理                 ,(437)社会工作实务                 
(10370)安徽师范大学,统考,(018)法学院,(035200)(专业学位)社会工作,全日制,(03)企业社会工作,                (101)思想政治理论                ,(204)英语（二）                 ,(331)社会工作原理                 ,(437)社会工作实务                 
(10370)安徽师范大学,统考,(018)法学院,(035200)(专业学位)社会工作,全日制,(04)社会工作与社会治理,                (101)思想政治理论                ,(204)英语（二）                 ,(331)社会工作原理                 ,(437)社会工作实务                 
